Time,Z-axis,Y-axis,X-axis,Battery,∞Celsius,EDA(uS),Event
00:03.3,0.01,-0.41,-0.76,-1,39.7,0,0
00:03.3,-0.03,-0.42,-0.73,-1,39.7,0,0
00:03.3,0,-0.4,-0.77,-1,39.7,0,0
00:03.4,0,-0.35,-0.81,-1,39.7,0,0
00:03.4,-0.05,-0.42,-0.6,-1,39.7,0,0
00:03.4,-0.08,-0.35,-0.77,-1,39.7,0,0
00:03.5,-0.11,-0.29,-0.49,-1,39.7,0,0
00:03.5,-0.01,-0.33,-0.74,-1,39.7,0,0
00:03.5,0.04,-0.68,-0.94,-1,39.7,0,0
00:03.6,0.04,-0.6,-0.75,-1,39.7,0,0
00:03.6,0.02,-0.57,-0.72,-1,39.7,0,0
00:03.6,-0.18,-0.5,-0.64,-1,39.7,0,0
00:03.7,-0.15,-0.46,-0.65,-1,39.7,0,0
00:03.7,-0.11,-0.5,-0.66,-1,39.7,0,0
00:03.7,-0.08,-0.53,-0.65,-1,39.7,0,0
00:03.8,-0.1,-0.55,-0.66,-1,39.7,0,0
00:03.8,0,-0.59,-0.71,-1,39.7,0,0
00:03.8,-0.03,-0.61,-0.63,-1,39.7,0,0
00:03.8,0.01,-0.65,-0.6,-1,39.7,0,0
00:03.9,0.07,-0.79,-0.57,-1,39.7,0,0
00:03.9,0.01,-0.78,-0.64,-1,39.7,0,0
00:03.9,-0.02,-0.7,-0.73,-1,39.7,0,0
00:04.0,-0.04,-0.59,-0.81,-1,39.7,0,0
00:04.0,-0.09,-0.56,-0.73,-1,39.7,0,0
00:04.0,-0.04,-0.53,-0.7,-1,39.7,0,0
00:04.1,-0.08,-0.37,-0.68,-1,39.7,0,0
00:04.1,-0.02,-0.54,-0.64,-1,39.7,0,0
00:04.1,0.01,-0.56,-0.69,-1,39.7,0,0
00:04.2,0.04,-0.6,-0.69,-1,39.5,0,0
00:04.2,0,-0.6,-0.62,-1,39.7,0,0
00:04.2,0.01,-0.68,-0.57,-1,39.7,0,0
00:04.3,0.02,-0.63,-0.65,-1,39.7,0,0
00:04.3,0.13,-0.59,-0.56,-1,39.7,0,0
00:04.3,0.18,-0.5,-0.3,-1,39.7,0,0
00:04.3,0.22,-0.53,-0.52,-1,39.7,0,0
00:04.4,0.09,-0.9,-0.38,-1,39.5,0,0
00:04.4,0.07,-0.48,-0.69,-1,39.7,0,0
00:04.4,0.4,-0.37,-1.04,-1,39.7,0,0
00:04.5,0.31,-0.33,-1.03,-1,39.5,0,0
00:04.5,0.2,-0.38,-0.93,-1,39.5,0,0
00:04.5,0.15,-0.5,-0.76,-1,39.5,0,0
00:04.6,0.13,-0.5,-0.65,-1,39.5,0,0
00:04.6,0.08,-0.41,-0.7,-1,39.5,0,0
00:04.6,0.32,-0.38,-0.89,-1,39.5,0,0
00:04.7,0.2,-0.42,-0.7,-1,39.5,0,0
00:04.7,0.24,-0.37,-0.73,-1,39.5,0,0
00:04.7,0.27,-0.41,-0.69,-1,39.5,0,0
00:04.8,0.35,-0.52,-0.66,-1,39.5,0,0
00:04.8,0.34,-0.53,-0.65,-1,39.5,0,0
00:04.8,0.48,-0.45,-0.65,-1,39.7,0,0
00:04.8,0.33,-0.68,-0.71,-1,39.7,0,0
00:04.9,0.28,-0.66,-0.89,-1,39.5,0.004,0
00:04.9,0.33,-0.19,-0.5,-1,39.5,0.002,0
00:04.9,0.36,-0.63,-0.72,-1,39.5,0.002,0
00:05.0,0.29,-0.57,-0.69,-1,39.7,0,0
00:05.0,0.39,-0.77,-0.82,-1,39.7,0,0
00:05.0,0.49,-0.88,-0.82,-1,39.5,0,0
00:05.1,0.17,-0.83,-0.52,-1,39.7,0,0
00:05.1,0.13,-0.38,-0.34,-1,39.7,0,0
00:05.1,0.33,-0.54,-0.53,-1,39.5,0,0
00:05.2,0.37,-0.62,-0.6,-1,39.5,0,0
00:05.2,0.25,-0.55,-0.71,-1,39.5,0,0
00:05.2,0.16,-0.46,-0.7,-1,39.5,0,0
00:05.2,0.07,-0.52,-0.56,-1,39.7,0,0
00:05.3,0.16,-0.5,-0.48,-1,39.7,0,0
00:05.3,0.33,-0.34,-0.6,-1,39.5,0,0
00:05.3,0.45,-0.28,-0.72,-1,39.5,0,0
00:05.4,0.35,-0.3,-0.69,-1,39.5,0,0
00:05.4,0.39,-0.2,-0.51,-1,39.5,0,0
00:05.4,0.49,-0.08,-0.47,-1,39.7,0,0
00:05.5,0.44,0,-0.54,-1,39.5,0,0
00:05.5,0.44,-0.13,-0.67,-1,39.5,0,0
00:05.5,0,0.02,-1.76,-1,39.5,0,0
00:05.6,0.24,-0.47,-0.83,-1,39.5,0,0
00:05.6,0.22,0.05,-0.75,-1,39.5,0,0
00:05.6,0.21,-0.09,-0.82,-1,39.5,0,0
00:05.7,0.41,-0.14,-0.8,-1,39.5,0,0
00:05.7,0.34,-0.15,-0.84,-1,39.5,0,0
00:05.7,0.49,-0.22,-0.79,-1,39.5,0,0
00:05.8,0.45,-0.17,-0.73,-1,39.5,0,0
00:05.8,0.06,-0.17,-0.7,-1,39.5,0,0
00:05.8,0.06,-0.24,-0.9,-1,39.5,0,0
00:05.8,0.03,0.06,-0.92,-1,39.5,0,0
00:05.9,-0.07,0.03,-0.87,-1,39.5,0,0
00:05.9,0.17,-0.2,-0.79,-1,39.5,0,0
00:05.9,0.22,-0.12,-0.84,-1,39.5,0,0
00:06.0,0.27,-0.4,-0.77,-1,39.5,0,0
00:06.0,0.28,-0.13,-0.81,-1,39.5,0,0
00:06.0,0.23,-0.1,-0.84,-1,39.5,0,0
00:06.1,0.17,-0.19,-0.64,-1,39.5,0,0
00:06.1,0.29,-0.21,-0.7,-1,39.5,0,0
00:06.1,0.28,-0.26,-0.71,-1,39.5,0,0
00:06.2,0.25,-0.25,-0.74,-1,39.5,0,0
00:06.2,0.26,-0.28,-0.76,-1,39.5,0,0
00:06.2,0.24,-0.35,-0.73,-1,39.5,0,0
00:06.3,0.3,-0.47,-0.69,-1,39.5,0,0
00:06.3,0.22,-0.35,-0.7,-1,39.5,0,0
00:06.3,0.23,-0.33,-0.74,-1,39.5,0,0
00:06.3,0.26,-0.09,-0.81,-1,39.5,0,0
00:06.4,0.19,-0.12,-0.84,-1,39.5,0,0
00:06.4,0.16,-0.38,-0.79,-1,39.5,0,0
00:06.4,0.16,-0.21,-0.84,-1,39.5,0,0
00:06.5,0.15,0,-0.89,-1,39.5,0,0
00:06.5,0.11,-0.46,-0.84,-1,39.5,0,0
00:06.5,0.12,-0.5,-0.75,-1,39.5,0,0
00:06.6,0.16,-0.23,-0.85,-1,39.5,0,0
00:06.6,0.11,-0.36,-0.8,-1,39.5,0,0
00:06.6,0.1,-0.5,-0.73,-1,39.5,0,0
00:06.7,0.14,-0.56,-0.66,-1,39.5,0,0
00:06.7,0.11,-0.51,-0.69,-1,39.5,0,0
00:06.7,0.12,-0.38,-0.71,-1,39.5,0,0
00:06.8,0.11,-0.55,-0.68,-1,39.5,0,0
00:06.8,0.11,-0.6,-0.63,-1,39.5,0,0
00:06.8,0.14,-0.68,-0.63,-1,39.5,0,0
00:06.8,0.16,-0.69,-0.6,-1,39.5,0,0
00:06.9,0.16,-0.49,-0.66,-1,39.5,0,0
00:06.9,0.14,-0.46,-0.69,-1,39.5,0,0
00:06.9,0.11,-0.36,-0.74,-1,39.5,0,0
00:07.0,0.04,-0.26,-0.74,-1,39.5,0,0
00:07.0,0.05,-0.19,-0.71,-1,39.5,0,0
00:07.0,0.02,-0.4,-0.65,-1,39.5,0,0
00:07.1,0.01,-0.5,-0.66,-1,39.5,0,0
00:07.1,0.02,-0.48,-0.7,-1,39.5,0,0
00:07.1,0,-0.55,-0.72,-1,39.5,0,0
00:07.2,0.08,-0.6,-0.73,-1,39.5,0,0
00:07.2,0.08,-0.54,-0.76,-1,39.5,0,0
00:07.2,0.03,-0.61,-0.8,-1,39.5,0,0
00:07.3,0.01,-0.69,-0.8,-1,39.5,0,0
00:07.3,0.14,-0.65,-0.75,-1,39.5,0,0
00:07.3,0,-0.53,-0.74,-1,39.5,0,0
00:07.3,-0.02,-0.53,-0.7,-1,39.5,0,0
00:07.4,-0.08,-0.54,-0.65,-1,39.5,0,0
00:07.4,-0.11,-0.5,-0.65,-1,39.5,0,0
00:07.4,-0.12,-0.5,-0.67,-1,39.5,0,0
00:07.5,-0.1,-0.49,-0.67,-1,39.5,0,0
00:07.5,-0.09,-0.5,-0.67,-1,39.5,0,0
00:07.5,-0.08,-0.51,-0.68,-1,39.5,0,0
00:07.6,-0.03,-0.56,-0.62,-1,39.5,0,0
00:07.6,-0.01,-0.6,-0.67,-1,39.5,0,0
00:07.6,0.01,-0.59,-0.68,-1,39.5,0,0
00:07.7,0,-0.6,-0.65,-1,39.5,0,0
00:07.7,0,-0.61,-0.63,-1,39.5,0,0
00:07.7,-0.13,-0.5,-0.4,-1,39.5,0,0
00:07.8,0.07,-0.65,-0.67,-1,39.5,0,0
00:07.8,-0.16,-0.65,-0.48,-1,39.5,0,0
00:07.8,-0.01,-0.53,-0.71,-1,39.5,0,0
00:07.8,0.02,-0.57,-0.68,-1,39.5,0,0
00:07.9,0.01,-0.61,-0.64,-1,39.5,0,0
00:07.9,0.04,-0.61,-0.66,-1,39.5,0,0
00:07.9,0.04,-0.58,-0.67,-1,39.5,0,0
00:08.0,0.02,-0.65,-0.64,-1,39.5,0,0
00:08.0,0.03,-0.65,-0.62,-1,39.5,0,0
00:08.0,0.06,-0.65,-0.61,-1,39.5,0,0
00:08.1,0,-0.69,-0.6,-1,39.5,0,0
00:08.1,0.01,-0.63,-0.56,-1,39.5,0,0
00:08.1,0,-0.69,-0.57,-1,39.5,0,0
00:08.2,0,-0.65,-0.59,-1,39.5,0,0
00:08.2,0.04,-0.68,-0.61,-1,39.5,0,0
