Time,Z-axis,Y-axis,X-axis,Battery,∞Celsius,EDA(uS),Event
39:57.0,-0.27,-0.07,-0.87,-1,32,0.087,0
39:57.0,-0.35,0,-1.06,-1,31.8,0.085,0
39:57.1,-0.41,-0.03,-1.1,-1,31.8,0.082,0
39:57.1,-0.21,0.23,-0.81,-1,31.8,0.085,0
39:57.1,-0.19,0,-0.89,-1,31.8,0.087,0
39:57.2,-0.43,0.03,-0.94,-1,31.8,0.091,0
39:57.2,-0.3,0.2,-0.79,-1,31.8,0.096,0
39:57.2,-0.25,0.09,-0.7,-1,31.8,0.096,0
39:57.2,-0.11,0.12,-0.78,-1,31.8,0.096,0
39:57.3,-0.23,0.15,-0.79,-1,31.8,0.098,0
39:57.3,-0.25,0.08,-0.82,-1,31.8,0.1,0
39:57.3,-0.22,0.09,-0.82,-1,31.8,0.103,0
39:57.4,-0.23,0.09,-0.76,-1,31.8,0.103,0
39:57.4,-0.22,0.07,-0.81,-1,31.8,0.103,0
39:57.4,-0.19,0.04,-0.73,-1,31.8,0.107,0
39:57.5,-0.2,0.09,-0.75,-1,31.8,0.109,0
39:57.5,-0.15,0.08,-0.85,-1,31.8,0.112,0
39:57.5,-0.2,0.07,-0.81,-1,31.8,0.114,0
39:57.6,-0.25,0.04,-0.78,-1,31.8,0.116,0
39:57.6,-0.24,0.05,-0.8,-1,31.8,0.114,0
39:57.6,-0.19,0.11,-0.84,-1,31.8,0.112,0
39:57.7,-0.21,0.06,-0.8,-1,31.8,0.107,0
39:57.7,-0.24,0.04,-0.8,-1,31.8,0.107,0
39:57.7,-0.22,0.04,-0.83,-1,31.8,0.107,0
39:57.7,-0.2,0,-0.85,-1,31.8,0.107,0
39:57.8,-0.18,0.04,-0.88,-1,31.8,0.105,0
39:57.8,-0.29,0.06,-0.8,-1,31.8,0.103,0
39:57.8,-0.09,-0.1,-0.68,-1,31.8,0.1,0
39:57.9,-0.21,-0.09,-0.73,-1,31.8,0.098,0
39:57.9,-0.16,-0.13,-0.76,-1,31.8,0.094,0
39:57.9,-0.2,-0.04,-0.86,-1,31.8,0.089,0
39:58.0,-0.23,-0.07,-0.85,-1,31.8,0.089,0
39:58.0,-0.24,0.01,-0.84,-1,31.8,0.085,0
39:58.0,-0.23,0.01,-0.8,-1,31.8,0.08,0
39:58.1,-0.21,-0.02,-0.8,-1,31.8,0.08,0
39:58.1,-0.19,-0.01,-0.82,-1,31.8,0.076,0
39:58.1,-0.54,-0.56,-0.23,-1,31.8,0.076,0
39:58.2,-0.15,-0.14,-0.92,-1,31.8,0.076,0
39:58.2,-0.27,-0.1,-0.79,-1,31.8,0.08,0
39:58.2,-0.19,-0.06,-0.82,-1,31.8,0.08,0
39:58.3,-0.18,-0.06,-0.78,-1,31.8,0.08,0
39:58.3,-0.19,-0.02,-0.8,-1,31.8,0.08,0
39:58.3,-0.21,-0.05,-0.77,-1,31.8,0.08,0
39:58.3,-0.2,-0.06,-0.83,-1,31.8,0.08,0
39:58.4,-0.21,-0.04,-0.84,-1,31.8,0.082,0
39:58.4,-0.19,-0.07,-0.78,-1,31.8,0.085,0
39:58.4,-0.19,-0.05,-0.81,-1,31.8,0.085,0
39:58.5,-0.18,-0.08,-0.75,-1,31.8,0.085,0
39:58.5,-0.17,-0.07,-0.76,-1,31.8,0.082,0
39:58.5,-0.18,-0.12,-0.83,-1,31.8,0.069,0
39:58.6,-0.18,-0.02,-0.82,-1,31.8,0.061,0
39:58.6,-0.19,-0.11,-0.84,-1,31.8,0.056,0
39:58.6,-0.17,0,-0.8,-1,31.8,0.054,0
39:58.7,-0.17,-0.08,-0.76,-1,31.8,0.045,0
39:58.7,-0.18,-0.04,-0.87,-1,31.8,0.043,0
39:58.7,-0.17,-0.01,-0.82,-1,31.8,0.041,0
39:58.7,-0.19,-0.04,-0.83,-1,31.8,0.039,0
39:58.8,-0.18,-0.04,-0.85,-1,31.8,0.039,0
39:58.8,-0.18,-0.05,-0.81,-1,31.8,0.039,0
39:58.8,-0.19,-0.07,-0.83,-1,31.8,0.041,0
39:58.9,-0.17,-0.03,-0.81,-1,31.8,0.041,0
39:58.9,-0.17,-0.07,-0.8,-1,31.8,0.041,0
39:58.9,-0.17,-0.05,-0.8,-1,31.8,0.045,0
39:59.0,-0.17,-0.04,-0.8,-1,31.8,0.043,0
39:59.0,-0.18,-0.05,-0.83,-1,31.8,0.045,0
39:59.0,-0.19,-0.08,-0.84,-1,31.8,0.045,0
39:59.1,-0.21,-0.13,-0.89,-1,31.8,0.045,0
39:59.1,-0.18,-0.11,-0.86,-1,31.8,0.045,0
39:59.1,-0.17,-0.08,-0.86,-1,31.8,0.045,0
39:59.2,-0.18,-0.14,-0.91,-1,31.8,0.043,0
39:59.2,-0.11,-0.08,-0.74,-1,31.8,0.045,0
39:59.2,-0.09,0.01,-0.57,-1,31.8,0.039,0
39:59.2,-0.17,-0.13,-0.53,-1,31.8,0.037,0
39:59.3,-0.18,-0.1,-0.62,-1,31.8,0.037,0
39:59.3,-0.21,-0.1,-0.82,-1,31.8,0.039,0
39:59.3,-0.21,0,-0.97,-1,31.8,0.043,0
39:59.4,-0.2,0,-0.9,-1,31.8,0.045,0
39:59.4,-0.24,0.02,-0.84,-1,31.8,0.045,0
39:59.4,-0.25,0.04,-0.86,-1,31.8,0.048,0
39:59.5,-0.29,0.07,-0.85,-1,31.8,0.05,0
39:59.5,-0.28,0.02,-0.78,-1,31.8,0.05,0
39:59.5,-0.25,0.07,-0.79,-1,31.8,0.05,0
39:59.6,-0.26,0.03,-0.79,-1,31.8,0.054,0
39:59.6,-0.22,0.03,-0.83,-1,31.8,0.05,0
39:59.6,-0.23,0.07,-0.85,-1,31.8,0.05,0
39:59.7,-0.2,0.12,-0.87,-1,31.8,0.05,0
39:59.7,-0.26,0.07,-0.84,-1,31.8,0.05,0
39:59.7,-0.24,-0.01,-0.81,-1,31.8,0.05,0
39:59.7,-0.26,-0.03,-0.81,-1,31.8,0.05,0
39:59.8,-0.24,-0.08,-0.77,-1,31.8,0.048,0
39:59.8,-0.19,-0.09,-0.75,-1,31.8,0.05,0
39:59.8,-0.2,-0.11,-0.76,-1,31.8,0.05,0
39:59.9,-0.2,-0.01,-0.79,-1,31.8,0.05,0
39:59.9,-0.21,0,-0.8,-1,31.8,0.048,0
39:59.9,-0.14,-0.05,-0.75,-1,31.8,0.05,0
40:00.0,-0.22,0,-0.79,-1,31.8,0.048,0
40:00.0,-0.18,0.09,-0.84,-1,31.8,0.045,0
40:00.0,-0.2,0.04,-0.86,-1,31.8,0.048,0
40:00.1,-0.25,-0.03,-0.8,-1,31.8,0.048,0
40:00.1,-0.21,0,-0.83,-1,31.8,0.048,0
40:00.1,-0.18,0.04,-0.82,-1,31.8,0.048,0
40:00.2,-0.19,0,-0.79,-1,31.8,0.048,0
40:00.2,-0.21,0,-0.78,-1,31.8,0.05,0
40:00.2,-0.18,0.03,-0.8,-1,31.8,0.048,0
40:00.3,-0.2,0,-0.8,-1,31.8,0.05,0
40:00.3,-0.21,0.03,-0.81,-1,31.8,0.052,0
40:00.3,-0.18,0.05,-0.82,-1,31.8,0.06,0
40:00.3,-0.19,0.03,-0.81,-1,31.8,0.067,0
40:00.4,-0.21,0.05,-0.8,-1,31.8,0.067,0
40:00.4,-0.2,0.05,-0.79,-1,31.8,0.069,0
40:00.4,-0.19,0.05,-0.81,-1,31.8,0.069,0
40:00.5,-0.18,0.05,-0.79,-1,31.8,0.069,0
40:00.5,-0.2,0.07,-0.8,-1,31.8,0.069,0
40:00.5,-0.17,0.07,-0.81,-1,31.8,0.071,0
40:00.6,-0.19,0.12,-0.8,-1,31.8,0.071,0
40:00.6,-0.2,0.1,-0.8,-1,31.8,0.071,0
40:00.6,-0.19,0.11,-0.83,-1,31.8,0.072,1
40:00.7,-0.21,0.12,-0.82,-1,31.8,0.074,0
40:00.7,-0.19,0.14,-0.8,-1,31.8,0.074,0
40:00.7,-0.2,0.15,-0.82,-1,31.8,0.076,0
40:00.7,-0.21,0.1,-0.78,-1,31.8,0.074,0
40:00.8,-0.2,0.12,-0.81,-1,31.8,0.076,0
40:00.8,-0.2,0.13,-0.81,-1,31.8,0.076,0
40:00.8,-0.18,0.14,-0.81,-1,31.8,0.074,0
40:00.9,-0.22,0.15,-0.81,-1,31.8,0.074,0
40:00.9,-0.22,0.09,-0.75,-1,31.8,0.072,0
40:00.9,-0.18,0.14,-0.78,-1,31.8,0.072,0
40:01.0,-0.21,0.17,-0.8,-1,31.8,0.072,0
40:01.0,-0.16,0.13,-0.82,-1,31.8,0.074,0
40:01.0,-0.19,0.1,-0.78,-1,31.8,0.072,0
40:01.1,-0.22,0.13,-0.82,-1,31.8,0.074,0
40:01.1,-0.18,0.13,-0.83,-1,31.8,0.074,0
40:01.1,-0.19,0.12,-0.81,-1,31.8,0.074,0
40:01.2,-0.21,0.14,-0.81,-1,31.8,0.074,0
40:01.2,-0.21,0.12,-0.8,-1,31.8,0.074,0
40:01.2,-0.18,0.13,-0.8,-1,31.8,0.074,0
40:01.2,-0.2,0.14,-0.78,-1,31.8,0.074,0
40:01.3,-0.2,0.14,-0.81,-1,31.8,0.072,0
40:01.3,-0.2,0.14,-0.8,-1,31.8,0.072,0
40:01.3,-0.19,0.13,-0.81,-1,31.8,0.072,0
40:01.4,-0.19,0.13,-0.82,-1,31.8,0.072,0
40:01.4,-0.21,0.11,-0.84,-1,31.8,0.072,0
40:01.4,-0.19,0.12,-0.83,-1,31.8,0.072,0
40:01.5,-0.2,0.09,-0.8,-1,31.8,0.072,0
40:01.5,-0.2,0.17,-0.82,-1,31.8,0.072,0
