Time,Z-axis,Y-axis,X-axis,Battery,∞Celsius,EDA(uS),Event
08:39.4,0.01,0.55,-0.66,-1,38.3,0,0
08:39.4,0,0.56,-0.66,-1,38.3,0.002,0
08:39.4,0,0.55,-0.66,-1,38.3,0,0
08:39.5,0,0.55,-0.65,-1,38.3,0.002,0
08:39.5,0,0.53,-0.64,-1,38.3,0,0
08:39.5,0,0.54,-0.65,-1,38.5,0,0
08:39.6,0.01,0.54,-0.65,-1,38.3,0,0
08:39.6,0,0.54,-0.66,-1,38.3,0,0
08:39.6,0.01,0.55,-0.67,-1,38.3,0.002,0
08:39.7,0.01,0.57,-0.66,-1,38.3,0,0
08:39.7,0.01,0.59,-0.68,-1,38.3,0,0
08:39.7,0.02,0.57,-0.64,-1,38.3,0,0
08:39.8,0.02,0.52,-0.64,-1,38.3,0,0
08:39.8,0.01,0.53,-0.66,-1,38.3,0,0
08:39.8,0,0.56,-0.67,-1,38.3,0,0
08:39.8,0,0.56,-0.67,-1,38.3,0,0
08:39.9,0,0.55,-0.66,-1,38.3,0,0
08:39.9,0,0.55,-0.65,-1,38.3,0,0
08:39.9,0.01,0.59,-0.66,-1,38.3,0,0
08:40.0,0.01,0.56,-0.63,-1,38.3,0,0
08:40.0,0.01,0.57,-0.64,-1,38.3,0,0
08:40.0,0.01,0.57,-0.66,-1,38.3,0,0
08:40.1,0.01,0.57,-0.66,-1,38.3,0,0
08:40.1,0.02,0.56,-0.65,-1,38.3,0,0
08:40.1,0.02,0.55,-0.64,-1,38.3,0,0
08:40.2,0.02,0.57,-0.65,-1,38.3,0,0
08:40.2,0.01,0.57,-0.66,-1,38.3,0,0
08:40.2,0.01,0.56,-0.65,-1,38.3,0,0
08:40.3,0.01,0.57,-0.63,-1,38.3,0,0
08:40.3,0.01,0.58,-0.64,-1,38.3,0,0
08:40.3,0.01,0.56,-0.64,-1,38.3,0,0
08:40.3,0.01,0.57,-0.65,-1,38.3,0,0
08:40.4,0.01,0.57,-0.64,-1,38.3,0,0
08:40.4,0.01,0.55,-0.64,-1,38.3,0,0
08:40.4,0.02,0.57,-0.63,-1,38.3,0,0
08:40.5,0.03,0.62,-0.65,-1,38.3,0,0
08:40.5,0.03,0.58,-0.64,-1,38.3,0,0
08:40.5,0.03,0.55,-0.63,-1,38.3,0,0
08:40.6,0.02,0.58,-0.65,-1,38.3,0,0
08:40.6,0.03,0.61,-0.65,-1,38.3,0,0
08:40.6,0.02,0.59,-0.64,-1,38.3,0,0
08:40.7,0.03,0.57,-0.65,-1,38.3,0,0
08:40.7,0.02,0.57,-0.65,-1,38.3,0,0
08:40.7,0.01,0.56,-0.64,-1,38.3,0,0
08:40.7,0.02,0.58,-0.63,-1,38.3,0,0
08:40.8,0.01,0.58,-0.63,-1,38.3,0,0
08:40.8,0.01,0.61,-0.64,-1,38.3,0,0
08:40.8,0.02,0.58,-0.63,-1,38.3,0,0
08:40.9,0.02,0.6,-0.64,-1,38.3,0,0
08:40.9,0.02,0.6,-0.61,-1,38.3,0,0
08:40.9,0.01,0.62,-0.64,-1,38.3,0,0
08:41.0,0.01,0.6,-0.62,-1,38.3,0,0
08:41.0,0,0.58,-0.62,-1,38.3,0,0
08:41.0,0.01,0.6,-0.63,-1,38.3,0,0
08:41.1,0,0.6,-0.63,-1,38.3,0,0
08:41.1,0,0.59,-0.62,-1,38.3,0,0
08:41.1,0,0.61,-0.63,-1,38.3,0,0
08:41.2,0.01,0.61,-0.65,-1,38.3,0,0
08:41.2,0.02,0.59,-0.62,-1,38.3,0,0
08:41.2,0.01,0.59,-0.61,-1,38.3,0,0
