Time,Z-axis,Y-axis,X-axis,Battery,∞Celsius,EDA(uS),Event
20:14.0,0.14,0.96,0.28,-1,40.4,0.359,0
20:14.0,0.16,0.88,0.27,-1,40,0.36,0
20:14.1,0.16,0.86,0.3,-1,40,0.359,0
20:14.1,0.17,0.88,0.24,-1,40,0.362,0
20:14.1,0.15,0.91,0.22,-1,40,0.36,0
20:14.2,0.17,0.9,0.21,-1,40,0.36,0
20:14.2,0.2,0.87,0.28,-1,40,0.36,0
20:14.2,0.18,0.84,0.24,-1,40,0.36,0
20:14.3,0.2,0.86,0.21,-1,40,0.36,0
20:14.3,0.24,0.9,0.23,-1,40,0.36,0
20:14.3,0.26,0.86,0.26,-1,40,0.359,0
20:14.3,0.26,0.83,0.26,-1,40,0.36,0
20:14.4,0.25,0.87,0.3,-1,40,0.358,0
20:14.4,0.22,0.9,0.25,-1,40,0.358,0
20:14.4,0.21,0.93,0.23,-1,40,0.36,0
20:14.5,0.18,0.93,0.23,-1,40,0.357,0
20:14.5,0.2,0.9,0.23,-1,40,0.354,0
20:14.5,0.22,0.94,0.23,-1,40,0.36,0
20:14.6,0.22,0.92,0.21,-1,40,0.358,0
20:14.6,0.22,0.91,0.23,-1,40,0.36,0
20:14.6,0.22,0.91,0.21,-1,40,0.359,0
20:14.7,0.21,0.9,0.2,-1,40,0.359,0
20:14.7,0.22,0.86,0.2,-1,40,0.359,0
20:14.7,0.23,0.88,0.24,-1,40,0.359,0
20:14.7,0.2,0.92,0.2,-1,40,0.36,0
20:14.8,0.19,0.93,0.17,-1,40,0.36,0
20:14.8,0.2,0.9,0.17,-1,40,0.36,0
20:14.8,0.21,0.82,0.19,-1,40,0.36,0
20:14.9,0.21,0.85,0.22,-1,40,0.36,0
20:14.9,0.2,0.96,0.18,-1,39.7,0.36,0
20:14.9,0.23,0.95,0.18,-1,40,0.36,0
20:15.0,0.21,0.91,0.18,-1,40,0.359,0
20:15.0,0.21,0.91,0.17,-1,40,0.359,0
20:15.0,0.22,0.91,0.16,-1,40,0.359,0
20:15.1,0.21,0.91,0.17,-1,39.7,0.36,0
20:15.1,0.21,0.89,0.15,-1,40,0.359,0
20:15.1,0.21,0.89,0.16,-1,40,0.357,0
20:15.2,0.21,0.9,0.17,-1,40,0.359,0
20:15.2,0.22,0.9,0.18,-1,40,0.359,0
20:15.2,0.22,0.87,0.17,-1,39.7,0.359,0
20:15.2,0.23,0.89,0.19,-1,40,0.357,0
20:15.3,0.23,0.92,0.18,-1,40,0.359,0
20:15.3,0.23,0.91,0.17,-1,40,0.36,0
20:15.3,0.24,0.91,0.18,-1,40,0.359,0
20:15.4,0.24,0.92,0.21,-1,40,0.359,0
20:15.4,0.24,0.88,0.21,-1,39.7,0.36,0
20:15.4,0.23,0.86,0.21,-1,39.7,0.359,0
20:15.5,0.24,0.82,0.21,-1,39.7,0.359,0
20:15.5,0.22,0.83,0.25,-1,39.7,0.357,0
20:15.5,0.23,0.9,0.25,-1,39.7,0.357,0
20:15.6,0.24,0.95,0.3,-1,39.7,0.357,0
20:15.6,0.2,0.95,0.26,-1,40,0.357,0
20:15.6,0.2,0.86,0.34,-1,39.7,0.357,0
20:15.7,0.28,0.99,0.45,-1,39.7,0.357,0
20:15.7,0.33,1,0.4,-1,39.7,0.358,0
20:15.7,0.2,0.76,0.27,-1,39.7,0.354,0
20:15.8,0.12,0.78,0.29,-1,39.7,0.354,0
20:15.8,0.19,0.94,0.42,-1,39.7,0.354,0
20:15.8,0.22,0.93,0.44,-1,39.7,0.357,0
20:15.8,0.23,0.93,0.4,-1,39.7,0.354,0
20:15.9,0.24,0.86,0.4,-1,39.7,0.354,0
20:15.9,0.24,0.87,0.42,-1,39.7,0.357,0
20:15.9,0.25,0.92,0.44,-1,39.7,0.354,0
20:16.0,0.23,0.86,0.4,-1,39.7,0.354,0
20:16.0,0.26,0.83,0.38,-1,39.7,0.354,0
20:16.0,0.27,0.83,0.39,-1,39.7,0.357,0
20:16.1,0.27,0.85,0.41,-1,39.7,0.354,0
20:16.1,0.27,0.86,0.42,-1,39.7,0.354,0
20:16.1,0.27,0.81,0.42,-1,39.7,0.351,0
20:16.2,0.23,0.8,0.39,-1,39.7,0.351,0
20:16.2,0.23,0.88,0.43,-1,39.7,0.351,0
20:16.2,0.24,0.79,0.44,-1,39.7,0.351,0
20:16.3,0.25,0.92,0.45,-1,39.7,0.351,0
20:16.3,0.25,0.82,0.43,-1,39.7,0.351,0
20:16.3,0.28,0.74,0.52,-1,39.7,0.351,0
20:16.3,0.3,0.82,0.53,-1,39.7,0.348,0
20:16.4,0.32,0.79,0.63,-1,39.7,0.348,0
20:16.4,0.27,0.77,0.57,-1,39.7,0.348,0
20:16.4,0.27,0.77,0.59,-1,39.7,0.346,0
20:16.5,0.22,0.92,0.58,-1,39.7,0.342,0
20:16.5,0.2,0.87,0.58,-1,39.7,0.342,0
20:16.5,0.18,0.79,0.54,-1,39.7,0.342,0
20:16.6,0.21,0.83,0.63,-1,39.7,0.342,0
20:16.6,0.24,0.88,0.62,-1,39.7,0.342,0
20:16.6,0.26,0.74,0.64,-1,39.7,0.34,0
