Time,Z-axis,Y-axis,X-axis,Battery,∞Celsius,EDA(uS),Event
08:16.1,0.17,0.33,-0.72,-1,40.2,0.338,0
08:16.1,0.17,0.33,-0.72,-1,40.2,0.338,0
08:16.1,0.17,0.33,-0.72,-1,40.2,0.337,0
08:16.2,0.16,0.33,-0.72,-1,40.2,0.334,0
08:16.2,0.17,0.33,-0.71,-1,40.2,0.334,0
08:16.2,0.17,0.33,-0.72,-1,40.2,0.338,0
08:16.2,0.17,0.33,-0.72,-1,40.2,0.334,0
08:16.3,0.17,0.33,-0.72,-1,40.2,0.334,0
08:16.3,0.17,0.34,-0.72,-1,40.2,0.334,0
08:16.3,0.16,0.34,-0.72,-1,40.2,0.334,0
08:16.4,0.16,0.33,-0.72,-1,40.2,0.334,0
08:16.4,0.16,0.33,-0.72,-1,40.2,0.334,0
08:16.4,0.16,0.33,-0.71,-1,40.2,0.334,0
08:16.5,0.16,0.33,-0.72,-1,40.2,0.331,0
08:16.5,0.17,0.34,-0.72,-1,40.2,0.331,0
08:16.5,0.16,0.34,-0.72,-1,40.2,0.334,0
08:16.6,0.16,0.34,-0.71,-1,40.2,0.332,0
08:16.6,0.16,0.34,-0.71,-1,40.2,0.334,0
08:16.6,0.16,0.34,-0.72,-1,40.2,0.332,0
08:16.7,0.16,0.33,-0.71,-1,40.2,0.331,0
08:16.7,0.16,0.33,-0.71,-1,40.2,0.332,0
08:16.7,0.17,0.34,-0.72,-1,40.2,0.332,0
08:16.7,0.16,0.34,-0.72,-1,40.2,0.331,0
08:16.8,0.16,0.33,-0.71,-1,40.2,0.331,0
08:16.8,0.17,0.33,-0.72,-1,40.2,0.332,0
08:16.8,0.16,0.33,-0.71,-1,40.2,0.332,0
08:16.9,0.17,0.33,-0.72,-1,40.2,0.332,0
08:16.9,0.17,0.33,-0.72,-1,40.2,0.332,0
08:16.9,0.17,0.33,-0.71,-1,40.2,0.332,0
08:17.0,0.16,0.34,-0.72,-1,40.2,0.331,0
08:17.0,0.17,0.34,-0.71,-1,40.2,0.332,0
08:17.0,0.17,0.33,-0.71,-1,40.2,0.332,0
08:17.1,0.16,0.34,-0.72,-1,40.2,0.331,0
08:17.1,0.16,0.34,-0.71,-1,40.2,0.331,0
08:17.1,0.17,0.34,-0.71,-1,40.2,0.331,0
08:17.2,0.16,0.34,-0.71,-1,40.2,0.332,0
08:17.2,0.17,0.33,-0.71,-1,40.2,0.332,0
08:17.2,0.17,0.34,-0.72,-1,40.2,0.332,0
08:17.3,0.16,0.33,-0.71,-1,40.2,0.331,0
08:17.3,0.17,0.33,-0.71,-1,40.2,0.332,0
08:17.3,0.16,0.33,-0.72,-1,40.2,0.331,0
08:17.3,0.16,0.33,-0.71,-1,40.2,0.332,0
08:17.4,0.16,0.34,-0.72,-1,40.2,0.331,0
08:17.4,0.16,0.34,-0.71,-1,40.2,0.331,0
08:17.4,0.17,0.33,-0.71,-1,40.2,0.332,0
08:17.5,0.17,0.33,-0.71,-1,40.2,0.331,0
08:17.5,0.17,0.33,-0.71,-1,40.2,0.331,0
08:17.5,0.17,0.33,-0.72,-1,40.2,0.331,0
08:17.6,0.16,0.34,-0.72,-1,40.2,0.331,0
08:17.6,0.17,0.34,-0.71,-1,40.2,0.331,0
08:17.6,0.17,0.33,-0.71,-1,40.2,0.331,0
08:17.7,0.16,0.34,-0.72,-1,40.2,0.329,0
08:17.7,0.16,0.33,-0.71,-1,40.2,0.331,0
08:17.7,0.17,0.33,-0.71,-1,40.2,0.329,0
08:17.7,0.17,0.33,-0.71,-1,40.2,0.332,0
08:17.8,0.17,0.34,-0.71,-1,40.2,0.331,0
08:17.8,0.17,0.33,-0.71,-1,40.2,0.332,0
08:17.8,0.16,0.34,-0.71,-1,40.2,0.332,0
08:17.9,0.17,0.33,-0.72,-1,40.2,0.328,0
08:17.9,0.17,0.33,-0.71,-1,40.2,0.328,0
08:17.9,0.17,0.33,-0.71,-1,40.2,0.332,0
08:18.0,0.17,0.33,-0.71,-1,40.2,0.331,0
08:18.0,0.16,0.33,-0.71,-1,40.2,0.331,0
08:18.0,0.17,0.33,-0.71,-1,40.2,0.331,0
08:18.1,0.17,0.33,-0.71,-1,40.2,0.331,0
08:18.1,0.17,0.33,-0.72,-1,40.2,0.331,0
08:18.1,0.17,0.33,-0.72,-1,40.2,0.331,0
08:18.2,0.16,0.33,-0.72,-1,40.2,0.331,0
08:18.2,0.17,0.33,-0.72,-1,40.2,0.331,0
08:18.2,0.17,0.33,-0.71,-1,40.2,0.328,0
08:18.2,0.17,0.33,-0.72,-1,40.2,0.328,0
08:18.3,0.17,0.34,-0.71,-1,40.2,0.328,0
08:18.3,0.17,0.33,-0.72,-1,40.2,0.328,0
08:18.3,0.17,0.33,-0.71,-1,40.2,0.328,0
08:18.4,0.17,0.33,-0.72,-1,40.2,0.328,0
08:18.4,0.17,0.34,-0.71,-1,40.2,0.328,0
08:18.4,0.17,0.34,-0.71,-1,40.2,0.328,0
08:18.5,0.17,0.32,-0.72,-1,40.2,0.329,0
08:18.5,0.17,0.33,-0.72,-1,40.2,0.329,0
08:18.5,0.17,0.33,-0.71,-1,40.2,0.328,0
08:18.6,0.17,0.33,-0.71,-1,40.2,0.329,0
08:18.6,0.17,0.33,-0.71,-1,40.2,0.329,0
08:18.6,0.17,0.33,-0.71,-1,40.2,0.328,0
08:18.7,0.17,0.33,-0.72,-1,40.2,0.328,0
08:18.7,0.17,0.33,-0.71,-1,40.2,0.328,0
08:18.7,0.17,0.33,-0.71,-1,40.2,0.328,0
08:18.7,0.16,0.33,-0.72,-1,40.2,0.329,0
08:18.8,0.18,0.34,-0.72,-1,40.2,0.328,0
08:18.8,0.17,0.35,-0.72,-1,40.2,0.328,0
08:18.8,0.15,0.34,-0.72,-1,40.2,0.328,0
08:18.9,0.17,0.32,-0.72,-1,40.2,0.329,0
08:18.9,0.17,0.31,-0.71,-1,40.2,0.328,0
08:18.9,0.19,0.3,-0.71,-1,40.2,0.329,0
08:19.0,0.2,0.31,-0.73,-1,40.2,0.328,0
08:19.0,0.18,0.32,-0.73,-1,40.2,0.328,0
08:19.0,0.18,0.33,-0.7,-1,40.2,0.328,0
08:19.1,0.18,0.34,-0.68,-1,40.2,0.328,0
08:19.1,0.17,0.35,-0.69,-1,40.2,0.328,0
08:19.1,0.16,0.37,-0.73,-1,40.2,0.328,0
08:19.2,0.16,0.34,-0.71,-1,40.2,0.328,0
08:19.2,0.17,0.33,-0.7,-1,40.2,0.326,0
08:19.2,0.17,0.36,-0.69,-1,40.2,0.328,0
08:19.3,0.17,0.37,-0.69,-1,40.2,0.328,0
08:19.3,0.17,0.39,-0.68,-1,40.2,0.326,0
08:19.3,0.15,0.41,-0.68,-1,40.2,0.326,0
08:19.3,0.14,0.42,-0.68,-1,40.2,0.328,0
08:19.4,0.14,0.42,-0.68,-1,40.2,0.326,0
08:19.4,0.14,0.41,-0.69,-1,40.2,0.328,0
08:19.4,0.13,0.42,-0.69,-1,40.2,0.326,0
08:19.5,0.14,0.43,-0.69,-1,40.2,0.326,0
08:19.5,0.15,0.43,-0.68,-1,40.2,0.326,0
08:19.5,0.14,0.45,-0.7,-1,40.2,0.323,0
08:19.6,0.13,0.44,-0.69,-1,40.2,0.327,0
08:19.6,0.16,0.37,-0.67,-1,40.2,0.323,0
08:19.6,0.18,0.38,-0.66,-1,40.2,0.326,0
08:19.7,0.17,0.38,-0.67,-1,40.2,0.323,0
08:19.7,0.15,0.4,-0.67,-1,40.2,0.326,0
08:19.7,0.14,0.42,-0.68,-1,40.2,0.326,0
08:19.7,0.13,0.41,-0.68,-1,40.2,0.323,0
08:19.8,0.13,0.41,-0.68,-1,40.2,0.323,0
08:19.8,0.14,0.4,-0.68,-1,40.2,0.326,0
08:19.8,0.15,0.4,-0.69,-1,40.2,0.326,0
08:19.9,0.14,0.4,-0.7,-1,40.2,0.323,0
08:19.9,0.13,0.38,-0.71,-1,40.2,0.326,0
08:19.9,0.13,0.36,-0.71,-1,40.2,0.323,0
08:20.0,0.12,0.36,-0.71,-1,40.2,0.323,0
08:20.0,0.11,0.38,-0.71,-1,40.2,0.323,0
08:20.0,0.11,0.39,-0.7,-1,40.2,0.323,0
08:20.1,0.12,0.37,-0.69,-1,40.2,0.323,0
08:20.1,0.12,0.39,-0.7,-1,40,0.326,0
08:20.1,0.11,0.4,-0.7,-1,40.2,0.323,0
08:20.2,0.09,0.4,-0.7,-1,40.2,0.323,0
08:20.2,0.1,0.41,-0.7,-1,40.2,0.323,0
08:20.2,0.1,0.4,-0.7,-1,40.2,0.323,0
08:20.2,0.11,0.38,-0.7,-1,40.2,0.323,0
08:20.3,0.11,0.38,-0.7,-1,40.2,0.326,0
08:20.3,0.1,0.4,-0.7,-1,40.2,0.32,0
08:20.3,0.1,0.4,-0.7,-1,40.2,0.32,0
08:20.4,0.11,0.38,-0.69,-1,40.2,0.32,0
08:20.4,0.12,0.38,-0.71,-1,40.2,0.323,0
08:20.4,0.11,0.38,-0.7,-1,40.2,0.323,0
08:20.5,0.11,0.38,-0.69,-1,40.2,0.323,0
08:20.5,0.11,0.39,-0.71,-1,40.2,0.323,0
08:20.5,0.11,0.39,-0.7,-1,40.2,0.323,0
08:20.6,0.11,0.38,-0.7,-1,40.2,0.323,0
08:20.6,0.12,0.38,-0.7,-1,40.2,0.323,0
08:20.6,0.12,0.39,-0.7,-1,40.2,0.32,0
08:20.7,0.12,0.38,-0.7,-1,40.2,0.32,0
08:20.7,0.11,0.39,-0.71,-1,40.2,0.323,0
08:20.7,0.11,0.39,-0.7,-1,40.2,0.323,0
08:20.8,0.11,0.38,-0.7,-1,40.2,0.32,0
08:20.8,0.12,0.39,-0.7,-1,40.2,0.321,0
08:20.8,0.11,0.38,-0.7,-1,40.2,0.32,0
08:20.8,0.12,0.38,-0.7,-1,40.2,0.32,0
08:20.9,0.12,0.39,-0.7,-1,40.2,0.323,0
08:20.9,0.12,0.39,-0.7,-1,40.2,0.323,0
08:20.9,0.12,0.38,-0.7,-1,40.2,0.323,0
08:21.0,0.12,0.39,-0.7,-1,40.2,0.323,0
08:21.0,0.12,0.39,-0.7,-1,40.2,0.323,0
08:21.0,0.12,0.39,-0.7,-1,40.2,0.323,0
08:21.1,0.12,0.38,-0.69,-1,40.2,0.323,0
08:21.1,0.12,0.38,-0.7,-1,40.2,0.323,0
08:21.1,0.12,0.39,-0.7,-1,40.2,0.323,0
08:21.2,0.12,0.38,-0.7,-1,40.2,0.323,0
08:21.2,0.12,0.38,-0.7,-1,40,0.323,0
08:21.2,0.13,0.38,-0.69,-1,40.2,0.323,0
08:21.3,0.13,0.39,-0.7,-1,40.2,0.326,0
08:21.3,0.13,0.39,-0.7,-1,40.2,0.323,0
08:21.3,0.12,0.38,-0.7,-1,40.2,0.323,0
08:21.3,0.12,0.38,-0.69,-1,40.2,0.323,0
08:21.4,0.12,0.39,-0.7,-1,40.2,0.326,0
08:21.4,0.12,0.39,-0.7,-1,40.2,0.323,0
08:21.4,0.13,0.38,-0.71,-1,40.2,0.326,0
08:21.5,0.13,0.39,-0.7,-1,40.2,0.323,0
08:21.5,0.12,0.38,-0.7,-1,40.2,0.323,0
08:21.5,0.12,0.38,-0.7,-1,40.2,0.323,0
08:21.6,0.12,0.38,-0.7,-1,40.2,0.326,0
08:21.6,0.12,0.39,-0.7,-1,40.2,0.326,0
08:21.6,0.12,0.39,-0.7,-1,40.2,0.323,0
08:21.7,0.12,0.38,-0.7,-1,40.2,0.323,0
08:21.7,0.13,0.38,-0.7,-1,40.2,0.323,0
08:21.7,0.12,0.38,-0.7,-1,40.2,0.323,0
08:21.7,0.12,0.38,-0.69,-1,40.2,0.327,0
08:21.8,0.13,0.39,-0.7,-1,40.2,0.326,0
08:21.8,0.13,0.38,-0.7,-1,40.2,0.326,0
08:21.8,0.12,0.39,-0.7,-1,40.2,0.327,0
08:21.9,0.13,0.38,-0.7,-1,40.2,0.323,0
08:21.9,0.13,0.38,-0.7,-1,40.2,0.326,0
08:21.9,0.13,0.38,-0.7,-1,40.2,0.326,0
08:22.0,0.13,0.38,-0.7,-1,40,0.323,0
08:22.0,0.12,0.38,-0.7,-1,40.2,0.327,0
08:22.0,0.13,0.38,-0.69,-1,40.2,0.326,0
08:22.1,0.13,0.38,-0.7,-1,40.2,0.326,0
08:22.1,0.13,0.38,-0.7,-1,40.2,0.323,0
08:22.1,0.12,0.38,-0.7,-1,40.2,0.326,0
