Time,Z-axis,Y-axis,X-axis,Battery,∞Celsius,EDA(uS),Event
19:02.0,-0.22,0.1,-0.78,-1,36.8,0.004,1
19:02.0,-0.2,0.12,-0.75,-1,36.8,0.004,1
19:02.0,-0.19,0.17,-0.83,-1,36.8,0.004,1
19:02.1,-0.18,0.13,-0.87,-1,36.8,0.004,1
19:02.1,-0.18,0.11,-0.89,-1,36.8,0.004,1
19:02.1,-0.18,0.1,-0.82,-1,36.8,0.004,1
19:02.2,-0.19,0.12,-0.8,-1,36.8,0.004,1
19:02.2,-0.19,0.12,-0.78,-1,36.8,0.004,1
19:02.2,-0.19,0.14,-0.78,-1,36.8,0.004,1
19:02.2,-0.19,0.14,-0.81,-1,36.8,0.004,1
19:02.3,-0.19,0.13,-0.82,-1,36.8,0.004,1
19:02.3,-0.18,0.13,-0.82,-1,36.8,0.004,1
19:02.3,-0.19,0.12,-0.82,-1,36.8,0.004,1
19:02.4,-0.19,0.12,-0.8,-1,36.8,0.004,1
19:02.4,-0.19,0.13,-0.8,-1,36.8,0.004,1
19:02.4,-0.19,0.13,-0.8,-1,36.8,0.004,1
19:02.5,-0.19,0.14,-0.81,-1,36.8,0.004,1
19:02.5,-0.19,0.12,-0.81,-1,36.8,0.004,1
19:02.5,-0.19,0.13,-0.81,-1,36.8,0.004,1
19:02.6,-0.18,0.13,-0.81,-1,36.8,0.004,1
19:02.6,-0.19,0.14,-0.8,-1,36.8,0.004,1
19:02.6,-0.19,0.13,-0.8,-1,36.8,0.004,1
19:02.7,-0.19,0.13,-0.8,-1,36.8,0.004,1
19:02.7,-0.19,0.13,-0.8,-1,36.8,0.004,1
19:02.7,-0.19,0.13,-0.8,-1,36.8,0.004,1
19:02.7,-0.19,0.13,-0.8,-1,36.8,0.004,1
19:02.8,-0.19,0.13,-0.81,-1,36.8,0.004,1
19:02.8,-0.19,0.13,-0.81,-1,36.8,0.004,1
19:02.8,-0.19,0.13,-0.81,-1,36.8,0.004,1
19:02.9,-0.19,0.13,-0.81,-1,36.8,0.004,1
19:02.9,-0.19,0.13,-0.81,-1,36.8,0.004,1
19:02.9,-0.19,0.12,-0.81,-1,36.8,0.002,1
19:03.0,-0.19,0.12,-0.8,-1,36.8,0.004,1
19:03.0,-0.18,0.14,-0.8,-1,36.8,0.004,1
19:03.0,-0.19,0.13,-0.82,-1,36.8,0.004,1
19:03.1,-0.18,0.13,-0.81,-1,36.8,0.004,1
19:03.1,-0.19,0.13,-0.81,-1,36.8,0.004,1
19:03.1,-0.19,0.13,-0.82,-1,36.8,0.004,1
19:03.2,-0.19,0.13,-0.81,-1,36.8,0.004,1
19:03.2,-0.18,0.13,-0.81,-1,36.8,0.004,1
19:03.2,-0.19,0.12,-0.81,-1,36.8,0.004,1
19:03.2,-0.19,0.12,-0.81,-1,36.8,0.004,1
19:03.3,-0.18,0.13,-0.8,-1,36.8,0.004,1
19:03.3,-0.19,0.14,-0.81,-1,36.8,0.004,1
19:03.3,-0.18,0.14,-0.8,-1,36.8,0.004,1
19:03.4,-0.19,0.14,-0.81,-1,36.8,0.004,1
19:03.4,-0.18,0.12,-0.81,-1,36.8,0.004,1
19:03.4,-0.18,0.13,-0.81,-1,36.8,0.004,1
19:03.5,-0.18,0.14,-0.81,-1,36.8,0.002,1
19:03.5,-0.18,0.13,-0.81,-1,36.8,0.004,1
19:03.5,-0.18,0.14,-0.81,-1,36.8,0.004,1
19:03.6,-0.18,0.15,-0.8,-1,36.8,0.004,1
19:03.6,-0.18,0.12,-0.8,-1,36.8,0.004,1
19:03.6,-0.18,0.11,-0.82,-1,36.8,0.004,1
19:03.7,-0.18,0.12,-0.81,-1,36.8,0.004,1
19:03.7,-0.18,0.13,-0.81,-1,36.6,0.004,1
19:03.7,-0.18,0.13,-0.81,-1,36.8,0.004,1
19:03.8,-0.18,0.12,-0.81,-1,36.8,0.004,1
19:03.8,-0.18,0.12,-0.82,-1,36.8,0.004,1
19:03.8,-0.18,0.12,-0.81,-1,36.8,0.004,1
19:03.8,-0.18,0.12,-0.8,-1,36.8,0.004,1
19:03.9,-0.18,0.13,-0.82,-1,36.8,0.004,1
19:03.9,-0.18,0.12,-0.81,-1,36.8,0.004,1
19:03.9,-0.18,0.12,-0.82,-1,36.8,0.004,1
19:04.0,-0.18,0.12,-0.81,-1,36.8,0.004,1
19:04.0,-0.18,0.12,-0.8,-1,36.8,0.004,1
19:04.0,-0.18,0.12,-0.81,-1,36.8,0.004,1
19:04.1,-0.18,0.12,-0.81,-1,36.8,0.004,1
19:04.1,-0.18,0.12,-0.81,-1,36.8,0.004,1
19:04.1,-0.18,0.12,-0.82,-1,36.8,0.004,1
19:04.2,-0.18,0.12,-0.81,-1,36.8,0.004,1
19:04.2,-0.18,0.12,-0.81,-1,36.8,0.004,1
19:04.2,-0.18,0.13,-0.81,-1,36.8,0.004,1
19:04.2,-0.18,0.13,-0.8,-1,36.8,0.004,1
19:04.3,-0.18,0.13,-0.78,-1,36.8,0.004,1
19:04.3,-0.18,0.11,-0.75,-1,36.8,0.004,1
19:04.3,-0.13,0.1,-0.61,-1,36.8,0.004,1
19:04.4,-0.11,0.17,-0.76,-1,36.8,0.004,1
19:04.4,-0.1,0.16,-0.94,-1,36.8,0.004,1
19:04.4,-0.05,0.17,-0.92,-1,36.8,0.004,1
19:04.5,-0.07,0.14,-0.92,-1,36.6,0.004,1
19:04.5,-0.04,0.1,-0.86,-1,36.8,0.004,1
